Total,5762203.0,,5762254.0,5762258.0,,,,,5762334.0,5762392.0,,5762575.0,,,5762704,5762706.0,5762128.0,5763121.0
,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,6.0,6.0,6.0,8,8.0,8.0,8.0
,,,,,,,,,,,,,,,,,,
,0.7511,0.7763,0.0856,0.34,0.35,0.31,0.3,0.04,0.242,0.9858,0.1145,0.0,0.3843,0.0433,"56,303.45",1.0,84.0,1.0
86,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,6.0,0.0,6.0,8,8.0,8.0,0.0
,0.4245,0.4478,0.1621,0.33,0.43,0.24,0.06,0.27,0.242,0.8988,0.2335,0.0,0.3776,0.0454,29502.05,1.0,141.0,2.0
100,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,6.0,6.0,6.0,8,8.0,8.0,8.0
,0.3524,0.4141,0.1195,0.34,0.41,0.07,0.27,0,0.395,0.9264,0.2611,0.0,0.431,0.0454,28125.02,3.0,96.0,4.0
69,6.0,7.0,8.0,0.0,1.0,0.0,0.0,0,0.0,6.0,7.0,6.0,6.0,6.0,0,8.0,8.0,0.0
,0.3253,0.3471,0.0888,0.33,0.37,0.1,0.2,0.33,0.242,0.9313,0.3753,0.0,0.3538,0.0401,64747.5,1.0,96.0,5.0
92,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,6.0,6.0,6.0,8,8.0,8.0,0.0
,0.4361,0.3918,0.0091,0.64,0.15,0.21,0.51,0.13,0.242,0.987,0.0534,0.0,0.3516,0.0473,60800.85,5.0,40.0,3.0
91,6.0,7.0,0.0,0.0,1.0,2.0,2.0,2,8.0,6.0,7.0,6.0,6.0,6.0,8,8.0,8.0,8.0
,0.5604,0.6293,0.107,0.19,0.31,0.5,0.07,0.12,0.242,0.91,0.256,0.0,0.4432,0.0127,26142.34,5.0,108.0,5.0
79,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,0.0,0.0,6.0,6.0,6.0,8,8.0,8.0,0.0
,0.7985,0.95,0.0496,,,,,,1.263,0.5863,0.2311,0.44111,0.4265,0.0489,482102,1.0,160.0,2.0
35,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0,8.0,8.0,0.0
,0.3435,0.4398,0.0905,0.61,0.28,0.11,0.31,0.3,0.059,0.987,0.0428,0.0153,0.3897,0.0338,50383.04,4.0,93.0,4.0
79,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,0.0,6.0,0.0,0.0,6.0,6.0,8,8.0,8.0,8.0
,0.3814,0.1525,0.097,0.61,0.28,0.11,0.31,0.3,0.242,0.9026,0.2043,0.0,0.3949,0.0465,"24,985.70",5.0,144.0,0.0
71,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,0.0,0.0,6.0,6.0,6.0,8,8.0,0.0,0.0
,0.2904,0.2905,0.0818,0.68,0.32,0.31,0.18,0.19,0.242,0.7184,0.3016,0.0,0.4668,0.0446,75666.65,0.0,89.31,4.0
92,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,6.0,6.0,6.0,8,8.0,8.0,0.0
,0.5199,0.5917,0.0849,0.57,0.07,0.36,0.3,0.27,0.242,0.9828,0.0741,0.0,0.4207,0.0367,40537.95,5.0,72.0,1.0
100,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,6.0,6.0,6.0,8,8.0,8.0,8.0
,0.363,0.3968,0.11,0.41,0.15,0.24,0.2,0.41,0.242,0.9875,0.0518,0.0,0.3179,0.0408,62143.21,0.0,132.0,0.0
93,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,0.0,6.0,6.0,6.0,8,8.0,8.0,8.0
,0.3296,0.4523,0.099,0.28,0.19,0.27,0.26,0.28,0.242,0.987,0.3235,0.0152,0.3745,0.0157,55602.12,6.0,32.0,3.0
93,6.0,7.0,8.0,0.0,1.0,2.0,2.0,2,8.0,6.0,7.0,0.0,6.0,6.0,8,8.0,8.0,8.0
,0.3828,0.6052,0.0246,0.71,0.25,0.26,0.195,0.05,0.242,0.987,0.3235,0.4052,0.4052,0.0142,43022.46,4.0,25.04,4.0
73,6.0,7.0,0.0,0.0,1.0,2.0,0.0,0,8.0,6.0,7.0,0.0,6.0,6.0,8,8.0,0.0,8.0
,0.5504,0.5963,0.0965,0.56,0.12,0.32,0.4,0.16,0.242,0.907,0.2418,0.0,0.4451,0.0442,27852.8,2.0,99.0,3.0
100,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,6.0,6.0,6.0,8,8.0,8.0,8.0
,0.3481,0.3884,0.1088,0.0,0.42,0.12,0.39,0.07,0.2421,0.989,0.0666,0.0184,0.3446,0.0348,55860.72,2.0,78.0,4.0
86,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,0.0,6.0,6.0,8,0.0,8.0,8.0
,0.4073,0.4818,0.1455,0.37,0.24,0.08,0.31,0.37,0.242,0.9313,0.4472,0.0,0.4166,0.0135,25058.16,4.0,196.0,1.0
92,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,6.0,6.0,6.0,0,8.0,8.0,8.0
,0.4052,0.4189,0.0264,1.0,,,,,0.242,0.9811,0.1352,,,,39718.6,5.0,72.0,0.0
58,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0,8.0,6.0,7.0,0.0,0.0,0.0,8,8.0,8.0,0.0
,0.609,0.473,0.0581,0.44,0.48,0.08,0.37,0.07,0.39,0.907,0.0889,0.0,0.4602,0.0274,19922.52,5.0,80.0,1.0
76,6.0,7.0,0.0,1.0,1.0,2.0,2.0,2,0.0,6.0,7.0,6.0,6.0,6.0,8,0.0,8.0,8.0
,0.3635,0.2217,0.1487,0.42,0.22,0.36,0.3,0.12,,0.9828,0.0492,0.0018,0.4907,0.4546,41855.66,1.0,94.65,3.0
66,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,0.0,6.0,7.0,0.0,0.0,0.0,8,8.0,0.0,8.0
,0.3998,0.306,0.0724,,,,,,0.242,0.9143,0.0615,,,,66869.3,7.0,120.06,1.0
74,6.0,7.0,8.0,0.0,0.0,0.0,0.0,0,8.0,6.0,7.0,0.0,0.0,0.0,8,8.0,8.0,8.0
,0.4912,0.2727,0.095,0.57,0.15,0.28,0.32,0.25,0.242,0.7348,0.1776,0.0,0.3085,0.029,70654.17,4.0,64.0,5.0
100,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,6.0,6.0,6.0,8,8.0,8.0,8.0
,0.4363,0.1798,0.0967,0.0,0.39,0.41,0.12,0.08,0.242,0.9026,0.1486,0.0,0.3477,0.0467,64033.75,2.0,66.0,3.0
79,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,0.0,0.0,6.0,6.0,6.0,8,0.0,8.0,8.0
,0.3608,0.4334,0.0801,0.07,0.11,0.42,0.4,0.07,0.242,0.9207,0.0679,0.0,0.4502,0.243,20381.58,3.0,34.0,3.0
94,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,6.0,6.0,0.0,8,8.0,8.0,8.0
,0.5086,0.5618,0.1448,0.38,0.17,0.31,0.14,0.38,0.242,0.9313,0.5344,0.0,0.4207,0.017,24978.7,2.0,38.0,4.0
100,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,6.0,6.0,6.0,8,8.0,8.0,8.0
,0.4095,0.1103,0.1017,0.38,0.07,0.24,0.31,0.38,0.242,0.988,0.0793,0.0,0.3804,0.469,49230.53,2.0,84.0,3.0
87,6.0,0.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,6.0,6.0,0.0,8,8.0,8.0,8.0
,0.7183,0.6926,0.3911,8.92,0.12,0.17,0.1825,0.1667,0.242,0.9844,0.955,0.0071,0.4959,0.4703,37303,3.0,31.3,1.0
36,6.0,7.0,0.0,0.0,1.0,0.0,0.0,0,8.0,6.0,0.0,0.0,0.0,0.0,0,8.0,0.0,0.0
,0.4742,0.4643,,0.42,0.37,0.21,0.33,0.09,,,0.0275,0.0,0.4047,0.0241,"51,803.84",2.0,84.0,
70,6.0,7.0,0.0,1.0,1.0,2.0,2.0,2,0.0,0.0,7.0,6.0,6.0,6.0,8,8.0,8.0,0.0
,0.5904,0.5868,0.1328,0.28,0.22,0.24,0.26,0.28,0.242,0.9811,0.0305,0.0,0.3401,0.0276,49560.27,0.0,80.0,0.0
92,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,6.0,6.0,6.0,8,8.0,8.0,0.0
,,,,,,,,,,,,,,,,,,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
,0.3958,0.4671,0.1256,0.24,0.22,0.2,0.34,0.24,0.531,0.9898,0.0192,0.0,0.3563,0.0067,52958.34,5.0,25.0,3.0
86,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,0.0,6.0,7.0,6.0,6.0,0.0,8,8.0,8.0,8.0
,0.3706,0.3291,0.1494,0.78,0.22,0.3,0.13,0.35,0.242,0.9757,0.9216,0.0,0.4121,0.0396,26525,1.0,114.02,1.0
79,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,0.0,0.0,6.0,6.0,6.0,8,8.0,8.0,0.0
,0.6278,0.5497,0.1053,0.17,0.47,0.36,0.08,0.09,0.242,0.9143,0.1176,0.0,0.4388,0.0319,22704.8,5.0,64.0,3.0
92,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,6.0,6.0,6.0,8,8.0,8.0,0.0
,0.5322,0.4795,0.3137,0.36,0.07,0.39,0.39,0.15,5.837,0.9264,0.1081,0.5083,0.4959,0.465,31191.94,0.0,88.0,0.0
53,6.0,7.0,0.0,1.0,0.0,0.0,2.0,0,0.0,6.0,7.0,0.0,0.0,0.0,8,8.0,8.0,0.0
,0.7239,0.8919,0.103,0.19,0.37,0.27,0.17,0.19,0.242,0.9207,0.1025,0.0,0.4389,0.0287,29004.64,3.0,66.0,4.0
100,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,6.0,6.0,6.0,8,8.0,8.0,8.0
,0.5872,0.4945,0.0836,0.28,0.76,0.4,0.28,0,0.059,0.7185,0.1253,0.3646,0.3645,0.0116,67861.08,3.0,61.33,3.0
57,6.0,7.0,8.0,1.0,0.0,0.0,0.0,0,0.0,6.0,7.0,0.0,6.0,0.0,8,8.0,0.0,0.0
,0.5527,0.4957,0.0904,0.1,0.19,0.48,0.23,0.1,0.2421,0.9828,0.2081,0.3683,0.3446,0.0113,39812.13,4.0,128.0,2.0
94,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,0.0,6.0,6.0,8,8.0,8.0,8.0
,0.1518,0.6229,,0.71,0.29,0.25,0.34,0.12,0.242,0.9898,0.0469,0.0216,0.3403,0.0119,46281.68,,68.0,5.0
64,0.0,7.0,0.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,0.0,6.0,6.0,8,0.0,8.0,0.0
,0.4542,0.3851,0.0396,0.55,0.21,0.24,0.43,0.12,0.242,0.8988,0.2832,0.407,0.407,0.04625,25818.5,2.0,120.0,4.0
85,6.0,7.0,0.0,0.0,1.0,2.0,2.0,2,8.0,6.0,7.0,0.0,6.0,6.0,8,8.0,8.0,8.0
,0.4451,0.5168,0.1238,0.4,0.26,0.34,0.32,0.08,0.242,0.9143,0.0775,0.0,0.3487,0.0342,52907.97,3.0,123.0,4.0
100,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,6.0,6.0,6.0,8,8.0,8.0,8.0
,0.4165,0.4894,0.1262,0.31,0.27,0.42,0.16,0.15,0.242,0.6554,0.1569,0.018,0.4458,0.0335,20895.5077,3.0,60.0,3.0
81,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,0.0,0.0,0.0,6.0,6.0,8,8.0,8.0,8.0
,0.5519,0.5588,0.1537,0.38,0.36,0.26,0.18,0.2,0.242,0.9357,0.3796,0.0,0.3843,0.0125,35781.88,7.0,132.0,0.0
100,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,6.0,6.0,6.0,8,8.0,8.0,8.0
,0.519,0.3846,0.789,0.13,0.16,0.34,0.37,0.13,0.242,0.9828,0.0492,0.0,0.3085,0.016,62817.26,1.0,8.0,0.0
92,6.0,7.0,0.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,6.0,6.0,6.0,8,8.0,8.0,8.0
,0.4317,0.4945,0.0993,0.3825,0.23,0.26,0.1825,0.2,,0.1657,0.1033,,,,15339805.83,6.0,57.0,5.0
30,6.0,7.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,8.0
,0.379,0.3519,0.9501,0.54,0.35,0.1225,0.0778,0.04,0.242,0.989,0.032,0.5054,0.5063,0.4626,38772.98,6.0,9.64,0.0
59,6.0,7.0,0.0,0.0,1.0,0.0,0.0,0,8.0,6.0,7.0,0.0,0.0,0.0,8,8.0,0.0,8.0
,0.5527,0.4957,0.0904,0.1,0.19,0.48,0.23,0.1,0.242,0.9828,0.2081,,,,"39,812.13",4.0,128.0,2.0
82,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,0.0,0.0,0.0,8,8.0,8.0,8.0
,0.2582,0.1502,,,,,,,0.242,0.9594,0.1256,0.3538,,0.0166,64981.58,7.0,26.83,2.0
35,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0,8.0,0.0,0.0,0.0,0.0,6.0,8,0.0,0.0,0.0
,0.4544,0.6188,0.1278,0.46,0.32,0.22,0.11,0.35,0.444,0.6477,0.2011,0.021,0.319,0.0486,61981.92,0.0,128.0,0.0
65,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,0.0,0.0,0.0,0.0,6.0,6.0,8,8.0,8.0,0.0
,0.8441,0.5602,0.0996,,,,,,0.242,0.9825,0.0142,0.0,0.4152,0.0207,42173.29,3.0,69.82,5.0
71,6.0,7.0,8.0,0.0,0.0,0.0,0.0,0,8.0,0.0,0.0,6.0,6.0,6.0,8,0.0,8.0,8.0
,0.6293,0.6422,0.132,0.36,0.07,0.34,0.23,0.36,0.242,0.9143,0.3583,0.0,0.3284,0.0243,60397.75,7.0,40.0,1.0
100,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,6.0,6.0,6.0,8,8.0,8.0,8.0
,0.2673,0.3362,0.089,0.29,0.44,0.135,0.06,0.17,0.242,0.9207,0.1789,0.0155,0.3538,0.011,67014.6,3.0,104.0,4.0
89,6.0,7.0,8.0,0.0,1.0,0.0,0.0,2,8.0,6.0,7.0,0.0,6.0,6.0,8,8.0,8.0,8.0
,0.6885,0.6234,0.0789,0.41,0.41,0.18,0.27,0.14,0.242,0.7185,0.1613,0.0,0.3739,0.0419,62185,5.0,132.0,5.0
100,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,6.0,6.0,6.0,8,8.0,8.0,8.0
,0.5365,0.3649,,0.3,0.33,0.24,0.13,0.3,0.242,,,0.0231,0.2969,0.0478,,7.0,160.0,2.0
49,6.0,7.0,0.0,1.0,1.0,2.0,2.0,2,8.0,0.0,0.0,0.0,6.0,6.0,0,0.0,8.0,0.0
,0.6359,0.7544,0.0789,0.7,0.24,0.06,0.23,0.47,0.242,0.9875,0.0486,0.0,0.3695,0.0432,66803.45,2.0,119.92,2.0
77,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,0.0,6.0,6.0,6.0,8,0.0,8.0,0.0
,0.4295,0.6397,0.1425,0.75,0.09,0.16,0.37,0.38,0.242,0.9811,0.1097,0.0,0.4917,0.4596,42690.47,5.0,69.0,1.0
80,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,6.0,0.0,0.0,8,0.0,8.0,8.0
,0.453,0.0917,0.1328,1.78,,,,,0.242,0.0736,0.0597,1.0,,0.0152,60696.55,5.0,56.0,1.0
59,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0,8.0,0.0,7.0,0.0,0.0,6.0,8,0.0,8.0,8.0
,0.4007,0.4429,0.0668,0.65,0.35,0.3,0.27,0.08,0.242,0.7,0.2827,0.0,0.3694,0.0412,73538.15,0.0,119.8,5.0
100,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,6.0,6.0,6.0,8,8.0,8.0,8.0
,0.5133,0.4212,0.1599,0.2,0.22,0.12,0.46,0.2,0.242,0.9811,0.2556,0.0,0.3403,0.02,49496.72,2.0,35.78,4.0
84,6.0,7.0,0.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,6.0,6.0,6.0,8,8.0,0.0,8.0
,0.5424,0.7078,0.0792,0.44,0.21,0.35,0.31,0.13,0.65,0.9828,0.034,0.0246,0.3446,0.031,42441.46,3.0,80.0,3.0
79,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,0.0,6.0,0.0,0.0,6.0,6.0,8,8.0,8.0,8.0
,0.4099,0.435,0.1061,0.23,0.09,0.42,0.26,0.23,0.242,0.987,0.0364,0.0,0.3897,0.0269,47885.83,6.0,62.0,3.0
100,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,6.0,6.0,6.0,8,8.0,8.0,8.0
,0.8529,0.8404,0.0879,0.69,0.09,0.22,0.27,0.42,0.242,0.9813,0.376,0.0145,0.3646,0.193,65343,1.0,40.0,0.0
75,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,0.0,0.0,0.0,6.0,0.0,8,8.0,8.0,8.0
,0.436,0.6194,0.1142,0.26,0.21,0.13,0.4,0.26,0.242,0.9264,0.1297,0.5899,0.4101,0.0388,30710.75,2.0,14.55,0.0
72,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,0.0,6.0,0.0,8,8.0,0.0,0.0
,0.5241,0.4451,0.3267,0.86,0.14,0.22,0.49,0.15,1.0,0.9844,0.2096,0.5952,0.5952,0.0486,46072,0.0,85.87,2.0
42,6.0,7.0,0.0,1.0,1.0,2.0,2.0,2,0.0,6.0,7.0,0.0,0.0,0.0,0,0.0,0.0,8.0
,0.2898,0.3189,0.266,0.12,0.08,0.17,0.63,0.12,0.242,0.9898,0.02752,0.4914,0.4914,0.4554,51337.62,6.0,44.0,1.0
66,6.0,7.0,0.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,0.0,0.0,0.0,8,0.0,8.0,8.0
,0.3196,0.375,0.1013,0.64,0.21,0.15,0.51,0.13,0.242,0.987,0.3235,0.3897,0.3897,0.0146,51102.12,1.0,36.0,4.0
86,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,0.0,6.0,6.0,8,8.0,8.0,0.0
,0.1542,0.0368,0.0747,0.65,0.29,0.06,0.42,0.23,0.242,0.9264,0.1297,0.0,0.4481,0.0308,17629.56,7.0,60.0,2.0
92,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,6.0,6.0,6.0,8,8.0,8.0,0.0
,0.8277,0.819,0.0717,0.16,0.42,0.19,0.23,0.16,0.242,0.6996,0.1831,0.0138,0.3556,0.0345,73967.92,3.0,78.0,4.0
86,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,0.0,6.0,6.0,8,8.0,8.0,0.0
,,,,,,,,,,,,,,,,,,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
,0.5156,0.4385,0.1069,0.21,0.48,0.17,0.14,0.21,0.242,0.9313,0.1895,0.0196,0.3085,0.3358,67997.89,5.0,28.0,2.0
88,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,0.0,6.0,0.0,8,8.0,8.0,8.0
,0.4143,0.3621,0.1213,13.47,0.49,0.2,0.19,0.12,0.242,0.6778,0.0846,0.0,0.4256,0.0228,79576.01,1.0,84.0,3.0
99,6.0,7.0,8.0,0.0,1.0,2.0,2.0,2,8.0,6.0,7.0,6.0,6.0,6.0,8,8.0,8.0,8.0
,0.3274,0.1832,0.1109,0.0,0.39,0.38,0.09,0.14,0.242,0.988,0.1167,0.0,0.3971,0.0414,37930.52,6.0,84.0,4.0
84,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,6.0,6.0,6.0,8,0.0,8.0,0.0
,0.4023,0.4604,0.123,0.68,0.32,0.27,0.21,0.2,0.242,0.6625,0.1425,0.3948,0.2133,0.028,31064.64,1.0,64.0,1.0
36,6.0,7.0,0.0,0.0,1.0,2.0,2.0,2,8.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,0.0
,0.4473,0.4928,0.8071,0.33,0.27,0.24,0.16,0.33,0.242,0.8208,,0.0,0.0007,0.0,70108.07,5.0,86.66,5.0
35,6.0,7.0,0.0,1.0,1.0,2.0,2.0,2,8.0,0.0,0.0,6.0,0.0,0.0,0,0.0,0.0,0.0
,0.6017,0.4167,0.114,2.23,0.17,0.24,0.32,0.27,0.242,0.9143,0.1176,0.4573,0.5427,0.0297,1076.32,4.0,60.0,3.0
49,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,6.0,7.0,0.0,0.0,6.0,0,0.0,8.0,8.0
,0.4385,0.3837,0.1296,0.43,0.29,0.2,0.08,0.43,0.242,0.9313,0.1347,0.0,0.4013,0.0325,33135.51,4.0,48.0,0.0
100,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,7.0,6.0,6.0,6.0,8,8.0,8.0,8.0
,0.6384,0.3565,0.1026,0.76,0.24,0.23,0.1,0.43,,0.9143,0.2987,0.0,0.3478,0.0233,65329.4,7.0,52.0,2.0
70,0.0,7.0,8.0,1.0,1.0,2.0,2.0,2,0.0,6.0,7.0,6.0,6.0,6.0,8,0.0,8.0,0.0
,,,,,,,,,,,,,,,,,,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
,0.4233,0.2723,0.1179,0.24,0.15,0.23,0.38,0.24,0.242,0.9264,0.1287,0.0,0.4277,0.0299,24911,3.0,42.0,2.0
85,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,0.0,6.0,6.0,6.0,8,8.0,8.0,0.0
,0.6504,0.6413,0.0779,0.34,0.06,0.27,0.33,0.34,0.242,0.9143,0.6393,0.0,0.3694,0.0315,62747.28,4.0,56.0,3.0
85,6.0,7.0,8.0,1.0,1.0,2.0,2.0,2,8.0,6.0,0.0,6.0,6.0,6.0,8,8.0,8.0,0.0
